sepal.length,sepal.width,petal.length,petal.width,variety
5,3.5,1.3,0.3,Setosa
4.5,2.3,1.3,0.3,Setosa
4.4,3.2,1.3,0.2,Setosa
5,3.5,1.6,0.6,Setosa
5.1,3.8,1.9,0.4,Setosa
4.8,3,1.4,0.3,Setosa
5.1,3.8,1.6,0.2,Setosa
4.6,3.2,1.4,0.2,Setosa
5.3,3.7,1.5,0.2,Setosa
5,3.3,1.4,0.2,Setosa
6.7,3.1,5.6,2.4,Virginica
6.9,3.1,5.1,2.3,Virginica
5.8,2.7,5.1,1.9,Virginica
6.8,3.2,5.9,2.3,Virginica
6.7,3.3,5.7,2.5,Virginica
6.7,3,5.2,2.3,Virginica
6.3,2.5,5,1.9,Virginica
6.5,3,5.2,2,Virginica
6.2,3.4,5.4,2.3,Virginica
5.9,3,5.1,1.8,Virginica
